sex,name,rank
B,Jack,1
B,Oliver,2
B,James,3
B,Charlie,4
B,Harris,5
B,Lewis,6
B,Leo,7
B,Noah,8
B,Alfie,9
B,Rory,10
B,Alexander,11
B,Max,12
B,Logan,13
B,Lucas,14
B,Harry,15
B,Theo,16
B,Thomas,16
B,Brodie,18
B,Archie,19
B,Jacob,20
B,Finlay,21
B,Finn,21
B,Daniel,23
B,Joshua,24
B,Oscar,25
B,Arthur,26
B,Hunter,27
B,Ethan,28
B,Mason,28
B,Harrison,30
B,Freddie,31
B,Ollie,32
B,Adam,33
B,William,34
B,Jaxon,35
B,Aaron,36
B,Cameron,37
B,Liam,38
B,George,39
B,Jamie,40
B,Callum,41
B,Matthew,42
B,Muhammad,43
B,Caleb,44
B,Nathan,45
B,Tommy,46
B,Carter,47
B,Blake,48
B,Andrew,49
B,Luke,49
B,Jude,51
B,Angus,52
B,Riley,52
B,Luca,54
B,Samuel,54
B,Joseph,56
B,David,57
B,Isaac,58
B,Ryan,59
B,Hamish,60
B,Sonny,61
B,Arlo,62
B,Arran,62
B,Cole,62
B,Robert,65
B,Blair,66
B,Dylan,66
B,Louie,66
B,Ruaridh,69
B,Connor,70
B,Benjamin,71
B,Kai,71
B,Michael,73
B,Jackson,74
B,Leon,74
B,Cooper,76
B,Louis,77
B,Theodore,78
B,Fraser,79
B,Owen,79
B,Reuben,79
B,John,82
B,Carson,83
B,Innes,83
B,Elijah,85
B,Murray,85
B,Grayson,87
B,Aiden,88
B,Aidan,89
B,Cody,90
B,Elliot,90
B,Ben,92
B,Henry,92
B,Sam,94
B,Alex,95
B,Ellis,95
B,Gabriel,97
B,Jax,97
B,Callan,99
B,Ruairidh,100
B,Frankie,101
B,Lachlan,101
B,Roman,101
B,Brody,104
B,Josh,104
B,Sebastian,106
B,Struan,107
B,Evan,108
B,Kyle,108
B,Myles,108
B,Calum,111
B,Lochlan,111
B,Jayden,113
B,Lyle,113
B,Robbie,113
B,Calvin,116
B,Corey,116
B,Jaxson,116
B,Christopher,119
B,Teddy,119
B,Eli,121
B,Marcus,121
B,Parker,121
B,Tyler,121
B,Euan,125
B,Hudson,125
B,Joey,125
B,Austin,128
B,Zac,128
B,Dominic,130
B,Kayden,130
B,Zack,130
B,Harvey,133
B,Rowan,133
B,Hugo,135
B,Edward,136
B,Fergus,136
B,Finley,136
B,Patrick,136
B,Cillian,140
B,Conor,141
B,Ruben,141
B,Flynn,143
B,Jake,143
B,Albie,145
B,Levi,145
B,Mohammad,145
B,Rhys,145
B,Ronan,145
B,Zach,145
B,Zachary,145
B,Ezra,152
B,Charles,153
B,Kian,153
B,Kieran,153
B,Mohammed,153
B,Zak,157
B,Anthony,158
B,Bradley,158
B,Elliott,158
B,Mark,161
B,Miller,161
B,Felix,163
B,Harley,163
B,Jay,163
B,Jordan,163
B,Milo,163
B,Oran,163
B,Peter,163
B,Sean,163
B,Ciaran,171
B,Jasper,171
B,Kaiden,171
B,Robin,171
B,Caelan,175
B,Cohen,175
B,Magnus,175
